Artist,Album,Play count,MBID,Release year,Release type
Bombay Bicycle Club,Everything Else Has Gone Wrong,8,05c73849-1de7-44db-9d65-bcde0a13a308,2020,Album
Cathedral Bells,Velvet Spirit,8,92095bee-7259-4ce1-b435-02f0e27a16ac,2020,Album
Cocteau Twins,The Moon And The Melodies,8,19a1b784-496f-444f-8043-f0ac97c541bf,1986,Album
Errors,Have Some Faith in Magic,8,4e22e6af-9334-4849-87dc-80a5432cc336,2012,Album
For Against,In The Marshes,8,4ea496b7-0c74-47f6-a17f-85ae0de280da,1990,EP
Furniture,The Wrong People,8,ac24daca-509f-4d02-95d9-b17d2dbfb979,1986,Album
Gang of Four,Hard,8,403de3b5-997e-40e3-9398-bd961c0fbe11,1983,Album
Genesis,Invisible Touch,8,034e15ae-4914-4874-8720-51c77a03dcfc,1986,Album
Launder,Annie Blue,8,c767c77a-0866-4ade-9ae3-47c039d92d3b,2018,Single
New Order,The Peel Sessions,8,74ab9551-2c51-4e08-935d-b50dbfdb9b8d,1987,EP
Nirvana,Nevermind (Deluxe Edition),8,2036410a-4334-47ed-b473-7d9e4caaf14f,1991,Album
Slint,Tweez,8,0774c7c4-c2ca-4d77-92a2-176456ef7475,1989,Album
The Cure,Disintegration,8,044e9324-d432-40d7-aa66-a6b64c007555,1989,Album
The Sound,All Fall Down,8,6460b50f-6db1-4ec0-84df-632285c162f2,1982,Album
The Sound,Jeopardy,8,307ee795-593c-4b5a-9773-56d9740a0732,1980,Album
Castlebeat,castlebeat,7,0092f969-67da-482b-a66a-de62118be2d4,2016,Album
Dog Bite,Velvet Changes,7,af8c84e7-6926-4e4e-8750-0ce46193cfab,2013,Album
Ducktails,St. Catherine,7,22eb3b45-6787-4063-8d4f-a5a8e239ba8b,2015,Album
Empire! Empire! (I Was a Lonely Estate),What It Takes to Move Forward,7,a4be78ef-65a7-414c-ae0f-2536cc47d7a2,2009,Album
Gang of Four,Solid Gold,7,677d430c-7b27-4832-bfb1-c1bf9f929fa9,1981,Album
Hovvdy,Runner,7,83d7d250-d18a-4b91-a4ec-a9c8c5a45316,2020,Single
Neutral Milk Hotel,In the Aeroplane Over the Sea,7,023fcf90-dca7-4a4e-a4e2-ed0eaba78f9e,1998,Album
Opposition,Promises,7,89de9ada-c2b3-4056-a83a-a33bf7d96255,1984,Album
Orange Juice,Rip It Up,7,21811736-d660-3551-9749-83a0b1f1c2a6,1982,Album
Phoebe Bridgers,Punisher,7,02ebd58b-2e50-4f02-9191-795d7fdc6295,2020,Album
Salvia Palth,Melanchole,7,4602a81a-0210-4446-9693-3258f668d954,2013,Album
Section 25,The Key of Dreams,7,1dcb6380-dc31-4e6a-bccd-cc548e846755,1982,Album
Small Black,Limits Of Desire,7,55b6c7e0-a2f3-45d9-b4a1-e86f7292d17b,2013,Album
